	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
31181	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	134.087	36.2945	GCA_946404995.1	chromosome 1:OX291481.1; chromosome 2:OX291482.1; chromosome 3:OX291483.1; chromosome 4:OX291484.1; chromosome 5:OX291485.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648780
31184	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	137.509	36.3253	GCA_946412225.1	chromosome 1:OX291741.1; chromosome 2:OX291742.1; chromosome 3:OX291743.1; chromosome 4:OX291744.1; chromosome 5:OX291745.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648816
31281	Arabidopsis thaliana	3702	PRJNA779205	779205	Plants	Land Plants	123.948	36.1972	GCA_024498475.1	chromosome 1:CP086739.1; chromosome 2:CP086740.1; chromosome 3:CP086741.1; chromosome 4:CP086742.1; chromosome 5:CP086743.1		5			2022/08/01	2022/08/01	Chromosome	GMI - Gregor Mendel Institute	SAMN23014731
31284	Arabidopsis thaliana	3702	PRJEB50694	811908	Plants	Land Plants	134.557	36.452	GCA_946499705.1	chromosome 1:OX298802.1; chromosome 2:OX298803.1; chromosome 3:OX298804.1; chromosome 4:OX298805.1; chromosome 5:OX298806.1		5			2022/08/25	2022/08/27	Chromosome	max planck institute for biology tuebingen	SAMEA13018400
31374	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	138.39	36.4677	GCA_946405905.1	chromosome 1:OX291523.1; chromosome 2:OX291524.1; chromosome 3:OX291525.1; chromosome 4:OX291526.1; chromosome 5:OX291527.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648796
31376	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	141.195	36.4653	GCA_946411425.1	chromosome 1:OX291700.1; chromosome 2:OX291701.1; chromosome 3:OX291702.1; chromosome 4:OX291703.1; chromosome 5:OX291704.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648813
31463	Arabidopsis thaliana	3702	PRJNA779205	779205	Plants	Land Plants	127.151	36.3269	GCA_024498435.1	chromosome 1:CP086729.1; chromosome 2:CP086730.1; chromosome 3:CP086731.1; chromosome 4:CP086732.1; chromosome 5:CP086733.1		5			2022/08/01	2022/08/01	Chromosome	GMI - Gregor Mendel Institute	SAMN23014733
31466	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	136.636	36.3684	GCA_946407145.1	chromosome 1:OX291605.1; chromosome 2:OX291606.1; chromosome 3:OX291607.1; chromosome 4:OX291608.1; chromosome 5:OX291609.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648785
31551	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	134.86	36.4917	GCA_946402385.1	chromosome 1:OX291429.1; chromosome 2:OX291430.1; chromosome 3:OX291431.1; chromosome 4:OX291432.1; chromosome 5:OX291433.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648779
31552	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	135.008	36.3202	GCA_946408575.1	chromosome 1:OX291627.1; chromosome 2:OX291628.1; chromosome 3:OX291629.1; chromosome 4:OX291630.1; chromosome 5:OX291631.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648790
31635	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	136.472	36.3397	GCA_949796475.1	chromosome 1:OX461200.1; chromosome 2:OX461201.1; chromosome 3:OX461202.1; chromosome 4:OX461203.1; chromosome 5:OX461204.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755688
31636	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	136.412	36.3523	GCA_946410165.1	chromosome 1:OX291677.1; chromosome 2:OX291678.1; chromosome 3:OX291679.1; chromosome 4:OX291680.1; chromosome 5:OX291681.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648784
31715	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	136.184	36.2963	GCA_949796605.1	chromosome 1:OX461145.1; chromosome 2:OX461146.1; chromosome 3:OX461147.1; chromosome 4:OX461148.1; chromosome 5:OX461149.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755683
31716	Arabidopsis thaliana	3702	PRJEB37252	630634	Plants	Land Plants	119.777	36.1708	GCA_902825305.1	chromosome 1:LR782542.1; chromosome 2:LR782543.1; chromosome 3:LR782544.1; chromosome 4:LR782545.1; chromosome 5:LR782546.1		5			2020/05/06	2020/05/06	Chromosome	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA6620825
31788	Arabidopsis thaliana	3702	PRJEB37261	630639	Plants	Land Plants	117.836	36.042	GCA_903064275.1	chromosome 1:LR797792.1; chromosome 2:LR797793.1; chromosome 3:LR797794.1; chromosome 4:LR797795.1; chromosome 5:LR797796.1		5			2020/05/15	2020/05/15	Chromosome	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA6623706
31789	Arabidopsis thaliana	3702	PRJEB55353	933067	Plants	Land Plants	142.679	36.5236	GCA_946411805.1	chromosome 1:OX291714.1; chromosome 2:OX291715.1; chromosome 3:OX291716.1; chromosome 4:OX291717.1; chromosome 5:OX291718.1		5			2023/02/09	2023/02/10	Chromosome	max planck institute for biology tuebingen	SAMEA110648821
31864	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	135.766	36.3172	GCA_949796655.1	chromosome 1:OX461140.1; chromosome 2:OX461141.1; chromosome 3:OX461142.1; chromosome 4:OX461143.1; chromosome 5:OX461144.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755681
31865	Arabidopsis thaliana	3702	PRJNA779205	779205	Plants	Land Plants	126.09	36.1147	GCA_024498455.1	chromosome 1:CP086734.1; chromosome 2:CP086735.1; chromosome 3:CP086736.1; chromosome 4:CP086737.1; chromosome 5:CP086738.1		5			2022/08/01	2022/08/01	Chromosome	GMI - Gregor Mendel Institute	SAMN23014732
31938	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	134.331	36.2466	GCA_949796485.1	chromosome 1:OX461170.1; chromosome 2:OX461171.1; chromosome 3:OX461172.1; chromosome 4:OX461173.1; chromosome 5:OX461174.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755689
31939	Arabidopsis thaliana	3702	PRJNA779205	779205	Plants	Land Plants	124.618	36.1282	GCA_024498555.1	chromosome 1:CP086754.1; chromosome 2:CP086755.1; chromosome 3:CP086756.1; chromosome 4:CP086757.1; chromosome 5:CP086758.1		5			2022/08/01	2022/08/01	Chromosome	GMI - Gregor Mendel Institute	SAMN23014728
32013	Arabidopsis thaliana	3702	PRJNA779205	779205	Plants	Land Plants	122.66	36.1471	GCA_024498495.1	chromosome 1:CP086744.1; chromosome 2:CP086745.1; chromosome 3:CP086746.1; chromosome 4:CP086747.1; chromosome 5:CP086748.1		5			2022/08/01	2022/08/01	Chromosome	GMI - Gregor Mendel Institute	SAMN23014730
32014	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	137.917	36.3522	GCA_949796635.1	chromosome 1:OX461160.1; chromosome 2:OX461161.1; chromosome 3:OX461162.1; chromosome 4:OX461163.1; chromosome 5:OX461164.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755676
32085	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	132.82	36.237	GCA_949796715.1	chromosome 1:OX461190.1; chromosome 2:OX461191.1; chromosome 3:OX461192.1; chromosome 4:OX461193.1; chromosome 5:OX461194.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755684
32086	Arabidopsis thaliana	3702	PRJEB55632	947457	Plants	Land Plants	138.387	36.3583	GCA_949796375.1	chromosome 1:OX461150.1; chromosome 2:OX461151.1; chromosome 3:OX461152.1; chromosome 4:OX461153.1; chromosome 5:OX461154.1		5			2023/04/09	2023/04/10	Chromosome	max planck institute for biology	SAMEA110755678
